id,name,brand,brandCn,top,heart,base,intensity,longevity,tier,priceRange,description
蓝风铃,蓝风铃,Jo Malone,祖玛珑,风铃草,柿子;小苍兰,白麝香,2,2,advanced,600-900 / 30ml,清透风铃草与柿子的水感花香，日常百搭
英国梨与小苍兰,英国梨与小苍兰,Jo Malone,祖玛珑,梨,小苍兰;玫瑰,广藿香;麝香,2,3,budget,600-900 / 30ml,清甜梨香叠小苍兰，温柔易亲近的入门香
碧海蓝,碧海蓝,Acqua di Parma,帕尔玛之水,香橙;海盐;柠檬,海风;迷迭香;薰衣草,雪松;麝香,2,2,advanced,500-800 / 50ml,地中海蓝风，清透海盐与香橙的夏日水感
光晕,光晕,Lancome,兰蔻,梨;香橙,玫瑰;茉莉;牡丹,雪松;麝香;香草,3,3,advanced,600-900 / 30ml,温柔日常的花果香，通勤约会不出错
雨后花园,雨后花园,Hermes,爱马仕,葡萄柚;香橙,莲花;风信子;绿叶,木质;乳香;麝香,2,3,signature,800-1200 / 50ml,尼罗河花园的清透水感，莲叶与阳光的交织
流浪者之歌,流浪者之歌,Byredo,百瑞德,柠檬;胡椒,焚香;鸢尾,琥珀;檀木;麝香,3,3,signature,900-1400 / 50ml,Gypsy Water 柠檬松针的冷绿意境
水中影,水中影,Diptyque,蒂普提克,黑醋栗叶;绿叶,玫瑰;无花果,木质;麝香,3,3,signature,700-1100 / 50ml,绿意玫瑰，黑醋栗叶的清冷绿意与湿漉花香
冷水,冷水,Davidoff,大卫杜夫,海盐;薄荷;薰衣草,迷迭香;鼠尾草,雪松;麝香;琥珀,3,3,budget,200-400 / 100ml,经典水生调，平价清爽的入门冷水
光影,光影,Dolce & Gabbana,杜嘉班纳,柠檬;青苹果;梨,茉莉;玫瑰;薰衣草,雪松;琥珀;麝香,2,2,budget,300-500 / 50ml,Light Blue 的地中海清新，阳光与柑橘的假日
白苔,白苔,Acca Kappa,艾克卡帕,柠檬;佛手柑,薰衣草;迷迭香,麝香;琥珀;雪松,1,1,budget,200-350 / 50ml,洁净皂感的白麝香，伪体香的经典代表
白茶-祖玛珑,白茶,Jo Malone,祖玛珑,茶叶;佛手柑,白茶;茉莉,麝香;木质,1,1,advanced,500-800 / 30ml,清雅的茶香叠白麝香，安静的书卷气质
暖暖椰奶,暖暖椰奶,Tom Ford,汤姆福特,柠檬;香橙;佛手柑,椰奶;橙花,琥珀;麝香,3,3,signature,1200-1800 / 50ml,Soleil Blanc 的假日暖阳，椰香白花与琥珀的慵懒
真我,真我,Dior,迪奥,木兰;香橙,玫瑰;茉莉;桂花,木质;麝香,3,3,signature,800-1300 / 50ml,Jadore 的华丽花香，金色水滴般璀璨的熟女气质
可可小姐,可可小姐,Chanel,香奈儿,橙;葡萄柚,玫瑰;茉莉;薰衣草,广藿香;香草;麝香,3,4,signature,1000-1500 / 50ml,Coco Mademoiselle 独立自信的现代女性香
花悦,花悦,Dior,迪奥,柑橘;牡丹,玫瑰;铃兰,麝香;雪松,2,2,advanced,700-1100 / 50ml,Miss Dior Blooming Bouquet 少女感的花束气息
黑鸦片,黑鸦片,YSL,圣罗兰,梨;咖啡,玫瑰;茉莉;橙花,香草;焦糖;广藿香,4,4,signature,800-1200 / 50ml,Black Opium 甜酷的咖啡花香，夜店女王香
好事成双,好事成双,Lancome,兰蔻,黑加仑;梨,鸢尾;茉莉;玫瑰,香草;焦糖;广藿香,4,4,signature,800-1200 / 50ml,La Vie Est Belle 甜蜜鸢尾与美食调的人气经典
花之秘境,花之秘境,Givenchy,纪梵希,梨;橙,橙花;茉莉;玫瑰,香草;琥珀;麝香,3,3,advanced,600-1000 / 50ml,LInterdit 禁忌之花的橙花茉莉，优雅而温柔
克洛伊,克洛伊,Chloe,蔻依,牡丹;荔枝,玫瑰;木兰,雪松;琥珀;麝香,2,2,advanced,600-900 / 50ml,Chloe EDP 温柔小女人的玫瑰花香
爱情故事,爱情故事,Chloe,蔻依,橙花油;柠檬,茉莉;玫瑰,雪松;木质,2,2,advanced,600-900 / 50ml,Love Story 橙花与茉莉的缠绵，浪漫约会香
花宫娜,花宫娜,Fragonard,花宫娜,橙;柠檬,玫瑰;茉莉;百合,麝香;檀香,2,2,budget,200-400 / 50ml,法国老牌格拉斯玫瑰，平价入门的花香代表
紫丁香,紫丁香,Demeter,帝门特,紫丁香,铃兰;风信子,麝香;木质,1,1,budget,100-200 / 30ml,单一紫丁香，还原雨后的清透花香
大地-爱马仕,大地,Hermes,爱马仕,橙;葡萄柚,胡椒;雪松,香根草;琥珀;广藿香,4,4,signature,800-1200 / 50ml,Terre dHermes 葡萄柚与矿石感的成熟男香标杆
乌木沉香,乌木沉香,Tom Ford,汤姆福特,沉香;檀木,小豆蔻;胡椒,琥珀;焚香;麝香,4,5,signature,1800-2500 / 50ml,Oud Wood 高级感乌木与檀香的完美融合
蔚蓝-香奈儿,蔚蓝,Chanel,香奈儿,柠檬;葡萄柚;薄荷,姜;雪松;薰衣草,檀香;琥珀;麝香,4,3,advanced,700-1100 / 50ml,Bleu de Chanel 清新木质调的现代男香经典
旷野-迪奥精纯,旷野,Dior,迪奥,薄荷;胡椒,薰衣草;小豆蔻,檀香;琥珀;雪松,4,4,advanced,700-1100 / 60ml,Sauvage 辛辣木质调的爆款男香，野性又精致
墨恋,墨恋,Lalique,莱俪,柏木;香根草,广藿香,檀香;麝香,3,3,budget,200-350 / 100ml,Encre Noire 暗黑木质调，墨香与雨湿森林的意象
冥府之路,冥府之路,Diptyque,蒂普提克,焚香;木烟,玫瑰;姜,檀香;雪松;麝香,2,3,signature,700-1100 / 50ml,幽冷焚香木质，教堂仪式感的阴郁禅意
超级雪松-百瑞德,超级雪松,Byredo,百瑞德,玫瑰;雪松,香根草,麝香;木质,2,2,advanced,700-1100 / 50ml,Super Cedar 极简雪松木，清冷干净的木质男友香
檀木33,檀木33,Le Labo,勒拉博,檀木;鸢尾,皮革;紫罗兰,木质;麝香;琥珀,3,4,signature,1500-2200 / 50ml,Santal 33 从皮革到檀香的复杂层次，文艺感极强
灰烬,灰烬,Byredo,百瑞德,焚香;姜,皮革;雪松,琥珀;檀木;麝香,3,3,advanced,800-1300 / 50ml,Accord Oud 焚香辛辣木质，暗夜行走的力量感
墨水-川久保玲,墨水,Comme des Garcons,川久保玲,柏木;雪松,焚香;香根草,麝香;琥珀,3,3,advanced,500-800 / 50ml,Wonderwood 扩香极好的干燥木屑与焚香
一千零一夜,一千零一夜,Guerlain,娇兰,柠檬;香橙,玫瑰;鸢尾,香草;劳丹脂;麝香,4,4,signature,900-1400 / 50ml,Shalimar 百年经典东方香，香草琥珀的性感传奇
琥珀君王,琥珀君王,Serge Lutens,芦丹氏,檀木;香草,琥珀;没药,树脂;雪松;麝香,4,5,signature,800-1300 / 50ml,Ambre Sultan 浓郁琥珀树脂，暖甜奢华的东方丰碑
华丽之夜,华丽之夜,YSL,圣罗兰,柑橘;姜,肉桂;茉莉,没药;乳香;麝香,4,4,advanced,700-1100 / 50ml,Opium 经典辛香东方调，八十年代权力感的代表
沙漠孤烟,沙漠孤烟,Tauer,陶尔,孜然;香草根,琥珀;雪松,香草;麝香;焚香,3,4,signature,900-1400 / 50ml,L Air du Desert Marocain 辛香琥珀的沙漠之夜
极致琥珀,极致琥珀,Maison Francis Kurkdjian,MFK,琥珀;劳丹脂,安息香;香草,树脂;麝香,3,4,signature,1500-2200 / 70ml,Grand Soir 热烈琥珀配香草，聚会气场之王
烟草香草,烟草香草,Tom Ford,汤姆福特,烟草;辛料,香草;可可,琥珀;麝香;檀木,4,4,signature,1500-2200 / 50ml,Tobacco Vanille 烟熏甜暖，秋冬质感香的代表
红香,红香,Cartier,卡地亚,橙;姜,玫瑰;丁香,檀香;麝香;琥珀,3,3,advanced,600-1000 / 50ml,经典辛香东方调，温暖香料与檀木的微醺感
罂粟,罂粟,YSL,圣罗兰,姜;胡椒,肉桂;烟草,皮革;琥珀,4,4,advanced,700-1200 / 50ml,辛辣皮革调，不羁的暗黑质感
香道,香道,Comme des Garcons,川久保玲,焚香;木烟,沉香;檀木,琥珀;麝香,3,4,advanced,600-1000 / 50ml,焚香木质线，肃穆的寺庙感与冥想氛围
